war,casualty_est,start_year,end_year,location
Reconquista,7000000,711,1492,Iberian Peninsula
hundred Years' War,2300000,1337,1453,Western Europe
Arab-Byzantine Wars,2000000,629,1050,MENA and Southern Europe
Crusades,1000000,1095,1291,Europe and Middle East
Mediterranean War,900000,1470,1574,Mediterranean
Italian Wars,300000,1494,1559,Southern Europe
world war II,80000000,1939,1945,Worldwide
Transition from Ming to Qing Dynasty,25000000,1616,1683,China
Spanish conquest of Aztec Empire,24300000,1519,1632,Mexico
taiping rebellion,20000000,1850,1864,China
Second Sino-Japanese War,20000000,1937,1945,China
World War I,16000000,1914,1918,Worldwide
Spanish conquest of Inca Empire,8400000,1533,1572,Peru
Korean War,1500000,1950,1953,Korea
Second Sudanese Civil War,1000000,1983,2005,Sudan
